Name,method,time,z3,calls,nodes,edges,density,conn comp,str con comp
a064591183dd6289551f7ea8825e6e92_sytro_600,BFS,600,30,22,32,28,0.08465608465608465,19,32
a064591183dd6289551f7ea8825e6e92_sytro_1800,BFS,1800,30,22,32,27,0.09116809116809117,19,32
a064591183dd6289551f7ea8825e6e92_sytro_3600,BFS,3600,30,22,32,26,0.09846153846153846,19,32
a064591183dd6289551f7ea8825e6e92_sytro_600,BFS,600,60,22,32,28,0.08465608465608465,19,32
a064591183dd6289551f7ea8825e6e92_sytro_1800,BFS,1800,60,24,36,28,0.09523809523809523,22,36
a064591183dd6289551f7ea8825e6e92_sytro_3600,BFS,3600,60,24,36,28,0.09523809523809523,22,36
a07d3733c46a77b14d4dd8484f83e7ad_sytro_600,BFS,600,30,22,32,28,0.08465608465608465,19,32
a07d3733c46a77b14d4dd8484f83e7ad_sytro_1800,BFS,1800,30,24,36,28,0.09523809523809523,22,36
a07d3733c46a77b14d4dd8484f83e7ad_sytro_3600,BFS,3600,30,24,36,29,0.08866995073891626,22,36
a07d3733c46a77b14d4dd8484f83e7ad_sytro_600,BFS,600,60,22,32,28,0.08465608465608465,19,32
a07d3733c46a77b14d4dd8484f83e7ad_sytro_1800,BFS,1800,60,24,36,27,0.10256410256410256,22,36
a07d3733c46a77b14d4dd8484f83e7ad_sytro_3600,BFS,3600,60,24,36,28,0.09523809523809523,22,36
a01319a413897bbf8bbfd551c2899f10_wabot_600,BFS,600,30,36,44,73,0.0167427701674277,22,44
a01319a413897bbf8bbfd551c2899f10_wabot_1800,BFS,1800,30,37,45,74,0.016660496112550906,22,45
a01319a413897bbf8bbfd551c2899f10_wabot_3600,BFS,3600,30,37,45,74,0.016660496112550906,22,45
a01319a413897bbf8bbfd551c2899f10_wabot_600,BFS,600,60,36,44,73,0.0167427701674277,22,44
a01319a413897bbf8bbfd551c2899f10_wabot_1800,BFS,1800,60,37,45,74,0.016660496112550906,22,45
a01319a413897bbf8bbfd551c2899f10_wabot_3600,BFS,3600,60,37,45,74,0.016660496112550906,22,45
a04be01d2c5c47227014d5d7111893cc_wabot_600,BFS,600,30,36,44,73,0.0167427701674277,22,44
a04be01d2c5c47227014d5d7111893cc_wabot_1800,BFS,1800,30,37,45,74,0.016660496112550906,22,45
a04be01d2c5c47227014d5d7111893cc_wabot_3600,BFS,3600,30,37,45,74,0.016660496112550906,22,45
