model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,flag,step_size,m,time
fginjk,0.8729281767955801,0.8195441988950276,0.8729281767955801,0.83824109754399,0.8243121929116576,0.42609925331156806,32,5,0.0001,8,True,0.001,5,499.075213432312
fginjk,0.8729281767955801,0.8212649631675875,0.8729281767955801,0.8388427194082052,0.8243121929116576,0.45433879310254893,32,5,0.0001,8,True,0.008,7,673.2682158946991
fginjk,0.8756906077348067,0.899914540195352,0.8756906077348067,0.8716397727009925,0.8806196281664613,0.3097952289805228,32,5,0.0001,8,True,0.005,7,662.2415351867676
fginjk,0.8812154696132597,0.8248756658024377,0.8812154696132597,0.8458939398935165,0.8338360024354673,0.48655109624995835,32,5,0.0001,8,True,0.001,7,701.5675036907196
fginjk,0.856353591160221,0.8055549075976525,0.856353591160221,0.8237845834001514,0.8066012488849241,0.3699755428245713,32,5,0.0001,8,False,-1,-1,164.57296562194824
fginjk,0.8674033149171271,0.8208030435204033,0.8674033149171271,0.8346520527558622,0.8179629865624513,0.2918277209758429,64,2,0.0001,8,True,0.008,3,214.39884495735168
fginjk,0.8646408839779005,0.8125111323833699,0.8646408839779005,0.82964766262007,0.8147883833878481,0.3648610380967019,64,2,0.0001,8,True,0.005,3,214.2593457698822
fginjk,0.8729281767955801,0.8994373179620974,0.8729281767955801,0.8666392300427224,0.8774450249918582,0.3396106691650264,64,2,0.0001,8,True,0.001,3,214.3364372253418
fginjk,0.861878453038674,0.8819825101890032,0.861878453038674,0.8543286247720453,0.866083287314331,0.3385063219630257,64,2,0.0001,8,True,0.008,5,318.6202161312103
fginjk,0.861878453038674,0.815248701929496,0.861878453038674,0.8278272359064682,0.8108604845446951,0.32445163240666547,64,2,0.0001,8,True,0.005,5,322.21813440322876
fginjk,0.861878453038674,0.8070561340584129,0.861878453038674,0.8266665678907472,0.8121971595655806,0.30305544793276495,64,2,0.0001,8,True,0.001,5,317.35962438583374
fginjk,0.850828729281768,0.8018163091616438,0.850828729281768,0.816344776576166,0.7994987468671679,0.338186914749567,64,2,0.0001,8,True,0.008,7,426.0639178752899
fginjk,0.8729281767955801,0.818748346051857,0.8729281767955801,0.8390003602861595,0.8256488679325431,0.32114686088338085,64,2,0.0001,8,True,0.005,7,424.0964012145996
fginjk,0.8756906077348067,0.9005936485383174,0.8756906077348067,0.8678332876485296,0.8819563031873469,0.3177143472416625,64,2,0.0001,8,True,0.001,7,422.37425446510315
fginjk,0.8674033149171271,0.8137585015514885,0.8674033149171271,0.832165550825648,0.8179629865624513,0.3708727950878565,64,2,0.0001,8,False,-1,-1,96.41733598709106
fginjk,0.8674033149171271,0.812748130797498,0.8674033149171271,0.8330772708937737,0.8192996615833368,0.4425739372143964,64,3,0.0001,8,True,0.008,3,285.34919333457947
fginjk,0.856353591160221,0.8056237364820893,0.856353591160221,0.8226400886944916,0.8066012488849241,0.37995260624595767,64,3,0.0001,8,True,0.005,3,287.45987033843994
fginjk,0.8784530386740331,0.9036081551247116,0.8784530386740331,0.8708033684569663,0.88513090636195,0.35576932025219193,64,3,0.0001,8,True,0.001,3,285.5423104763031
fginjk,0.8259668508287292,0.8333296775107504,0.8259668508287292,0.8057791312856205,0.8328334961698031,0.3785169786511205,64,3,0.0001,8,True,0.008,5,438.0790445804596
fginjk,0.8701657458563536,0.8174652110482657,0.8701657458563536,0.8366762695390821,0.8224742647579399,0.3539008475757765,64,3,0.0001,8,True,0.005,5,439.60819697380066
