familly;filename;time;date;Syscall found;Address found;Libraries;OS;CPU architecture;Entry point;Min/Max addresses;Stack executable;Binary position-independent;Total number of blocks;Total number of instr;Number of blocks visited;Number of instr visited;Number Address found;Number Syscall found;Binary position-independent:
Gh0stRAT;3cb2fd26e550c2210a94d899a48ecd53216457e9c33f4a623bb3bb63263062a8.exe;107.7581901550293;2023-01-04 10:32:41;"{""GetVersion"": 1, ""HeapCreate"": 1, ""GetVersionExA"": 1, ""GetEnvironmentVariableA"": 2, ""GetModuleFileNameA"": 4, ""GetModuleHandleA"": 5, ""HeapAlloc"": 12, ""InitializeCriticalSection"": 17, ""TlsAlloc"": 4, ""EnterCriticalSection"": 11, ""VirtualAlloc"": 8, ""LeaveCriticalSection"": 11, ""TlsSetValue"": 4, ""GetCurrentThreadId"": 4, ""GetStartupInfoA"": 5, ""GetStdHandle"": 8, ""GetFileType"": 8, ""SetHandleCount"": 1, ""GetCommandLineA"": 1, ""GetEnvironmentStringsW"": 1, ""WideCharToMultiByte"": 2, ""FreeEnvironmentStringsW"": 1, ""GetACP"": 1, ""GetCPInfo"": 2}";;{'kernel32.dll'};windows;X86;4569496;4194304/4605583;False;;0;0;343;1365;0.0;24.0;False
Gh0stRAT;3b15486651f5e552fe3a354485aa2751dd730b8c3dd4ec26c0d9a976b2d3b129.dll;28.47734785079956;2023-01-04 10:34:55;"{""CallReturn"": 1}";;{'ws2_32.dll', 'kernel32.dll', 'user32.dll', 'msvcp60.dll', 'msimg32.dll', 'imm32.dll', 'wtsapi32.dll', 'wininet.dll', 'msvcrt.dll', 'userenv.dll', 'advapi32.dll', 'shell32.dll', 'gdi32.dll'};windows;X86;268511178;268435456/268611703;False;;4258;27305;5;20;0.0;1.0;True
warzone4;6016fa5d6a03ee39c717d983992f232c52cbcf8bdeee8e1b8f361ac50da915e4.exe;119.09723043441772;2023-01-04 10:36:55;"{""IsProcessorFeaturePresent"": 1, ""LoadLibraryExW"": 1, ""GetProcAddress"": 1, ""InitializeCriticalSectionEx"": 1}";;{'ole32.dll', 'user32.dll', 'kernel32.dll', 'api-ms-win-core-synch-l1-2-0.dll'};windows;X86;4201534;4194304/5538091;False;;6581;27540;824;77874;0.0;4.0;True
warzone4;07081d4a91281b177faade926dea4c1f4b6fe52f5d79b93405193c4c20c4741d.exe;114.75391364097597;2023-01-04 10:38:52;"{""GetSystemTimeAsFileTime"": 1, ""GetCurrentProcessId"": 1, ""GetCurrentThreadId"": 2, ""GetTickCount"": 1, ""QueryPerformanceCounter"": 1, ""GetStartupInfoW"": 2, ""HeapSetInformation"": 1, ""HeapCreate"": 1, ""GetModuleHandleW"": 2, ""GetProcAddress"": 4, ""TlsAlloc"": 1, ""TlsSetValue"": 1, ""EncodePointer"": 6, ""InitializeCriticalSectionAndSpinCount"": 18, ""DecodePointer"": 2, ""FlsAlloc"": 1, ""EnterCriticalSection"": 9, ""HeapAlloc"": 6, ""LeaveCriticalSection"": 8, ""FlsSetValue"": 1, ""InterlockedIncrement"": 3, ""GetStdHandle"": 6, ""GetFileType"": 6, ""SetHandleCount"": 1, ""GetCommandLineW"": 1, ""GetEnvironmentStringsW"": 1, ""FreeEnvironmentStringsW"": 1, ""GetModuleFileNameW"": 1, ""HeapValidate"": 1, ""GetLastError"": 149, ""TlsGetValue"": 149, ""FlsGetValue"": 149, ""SetLastError"": 148, ""GetModuleFileNameA"": 1}";;{'kernel32.dll', 'gdi32.dll'};windows;X86;4203184;4194304/45685119;False;;9342;34227;710;3400;0.0;34.0;True
warzone4;7d2513132d07adf745141e5860b022afce543e2070a17d303833171d45f93e90.exe;127.05303883552553;2023-01-04 10:40:59;"{""IsProcessorFeaturePresent"": 1, ""LoadLibraryExW"": 1, ""GetProcAddress"": 1, ""InitializeCriticalSectionEx"": 1}";;{'ole32.dll', 'user32.dll', 'kernel32.dll', 'oleaut32.dll', 'api-ms-win-core-synch-l1-2-0.dll'};windows;X86;4257911;4194304/5860647;False;;31845;136302;874;81881;0.0;4.0;True
warzone4;995c82e7ea2a4f8882876f17fe0e3cacb47860744d48f250bdee6a7e9b01f0f7.exe;114.975120306015;2023-01-04 10:42:54;"{""IsProcessorFeaturePresent"": 1, ""LoadLibraryExW"": 1, ""GetProcAddress"": 1, ""InitializeCriticalSectionEx"": 1}";;{'resutils.dll', 'crypt32.dll', 'avicap32.dll', 'kernel32.dll', 'user32.dll', 'odbc32.dll', 'avifil32.dll', 'msvfw32.dll', 'mscms.dll', 'api-ms-win-core-synch-l1-2-0.dll'};windows;X86;4333571;4194304/4627791;False;;6250;40390;874;81711;0.0;4.0;False
warzone4;2b7476da92df4a15256a8a37e38fd5999ab4dd169c15eb7b581f4a05f41cea5f.exe;152.22692441940308;2023-01-04 10:45:26;"{""IsProcessorFeaturePresent"": 1, ""LoadLibraryExW"": 1, ""GetProcAddress"": 1, ""InitializeCriticalSectionEx"": 1}";;{'ole32.dll', 'user32.dll', 'kernel32.dll', 'oledlg.dll', 'userenv.dll', 'api-ms-win-core-synch-l1-2-0.dll', 'oleaut32.dll', 'advapi32.dll', 'shell32.dll', 'gdi32.dll'};windows;X86;4278938;4194304/5911139;False;;33257;141319;846;80052;0.0;4.0;True
warzone4;edc0a4121333b0deffc1aa3d550f8a81201d9c74ec923307f582fbc8f0233778.exe;149.8596155643463;2023-01-04 10:47:56;"{""IsProcessorFeaturePresent"": 1, ""LoadLibraryExW"": 5, ""GetProcAddress"": 9, ""InitializeCriticalSectionEx"": 142, ""FlsAlloc"": 2, ""FlsSetValue"": 2, ""GetProcessHeap"": 1, ""GetLastError"": 5, ""FlsGetValue"": 5, ""SetLastError"": 6, ""EnterCriticalSection"": 19, ""HeapAlloc"": 7, ""LeaveCriticalSection"": 19, ""GetStartupInfoW"": 2, ""GetStdHandle"": 8, ""GetFileType"": 8, ""GetCommandLineA"": 2, ""GetCommandLineW"": 2, ""GetACP"": 2, ""IsValidCodePage"": 2, ""GetCPInfo"": 2, ""MultiByteToWideChar"": 4, ""GetStringTypeW"": 1, ""HeapValidate"": 1, ""HeapFree"": 1}";;{'ole32.dll', 'user32.dll', 'kernel32.dll', 'api-ms-win-core-fibers-l1-1-1.dll', 'api-ms-win-core-localization-l1-2-1.dll', 'api-ms-win-core-synch-l1-2-0.dll', 'oleaut32.dll', 'advapi32.dll', 'gdi32.dll'};windows;X86;4212265;4194304/6678227;False;;241536;376290;963;4053;0.0;25.0;True
warzone4;ed0e89048233a80fdebcbae8982ff3120c323e78172eccbd893383f289c6ed3d.exe;113.45653891563416;2023-01-04 10:49:50;"{""IsProcessorFeaturePresent"": 1, ""LoadLibraryExW"": 1, ""GetProcAddress"": 1, ""InitializeCriticalSectionEx"": 1}";;{'user32.dll', 'comdlg32.dll', 'kernel32.dll', 'api-ms-win-core-synch-l1-2-0.dll'};windows;X86;4205547;4194304/4318655;False;;6599;26754;857;81139;0.0;4.0;False
warzone4;abf0480eb01d840ee627519cc00086badd7a27f80f654d1cc44fec8f34353257.exe;119.8322811126709;2023-01-04 10:51:50;"{""IsProcessorFeaturePresent"": 1, ""LoadLibraryExW"": 1, ""GetProcAddress"": 1, ""InitializeCriticalSectionEx"": 1}";;{'gdiplus.dll', 'kernel32.dll', '<pi-ms-win-core-synch-l1-2-0.dll'};windows;X86;4317689;4194304/4628747;False;;15101;66735;873;81612;0.0;4.0;True
warzone4;WARZONERAT.exe;197.0353345870972;2023-01-04 10:55:07;"{""GetStartupInfoW"": 1, ""GetProcessHeap"": 1, ""EncodePointer"": 1}";;{'winmm.dll', 'ole32.dll', 'psapi.dll', 'comdlg32.dll', 'kernel32.dll', 'user32.dll', 'wsock32.dll', 'iphlpapi.dll', 'comctl32.dll', 'wininet.dll', 'mpr.dll', 'userenv.dll', 'version.dll', 'oleaut32.dll', 'advapi32.dll', 'shell32.dll', 'uxtheme.dll', 'gdi32.dll'};windows;AMD64;5368904220;5368709120/5379459715;False;;46130;177325;823;79570;0.0;3.0;True
warzone4;622c48a052fbbc1859678ec8a5f604ff9a1a368df282758e60b766c96c2555fb.exe;114.15568971633913;2023-01-04 10:57:01;"{""IsProcessorFeaturePresent"": 1, ""LoadLibraryExW"": 1, ""GetProcAddress"": 1, ""InitializeCriticalSectionEx"": 1}";;{'ole32.dll', 'wininet.dll', 'kernel32.dll', 'api-ms-win-core-synch-l1-2-0.dll'};windows;X86;4220125;4194304/5758891;False;;10038;41056;856;80099;0.0;4.0;True
warzone4;995253676a48f849d9f6c5c8e23a612a4aed9fbb3526e9b15894e9397e25fb69.exe;121.00758028030396;2023-01-04 10:59:02;"{""IsProcessorFeaturePresent"": 1, ""LoadLibraryExW"": 1, ""GetProcAddress"": 1, ""InitializeCriticalSectionEx"": 1}";;{'user32.dll', 'kernel32.dll', 'api-ms-win-core-synch-l1-2-0.dll'};windows;X86;4670350;4194304/5636675;False;;26160;156990;848;79137;0.0;4.0;True
warzone4;ee0d5b01937cc5e1ad3168162f26804e4a2749fb2e04b36fba4aa1974eaeca6b.exe;113.80169749259947;2023-01-04 11:00:56;"{""IsProcessorFeaturePresent"": 1, ""LoadLibraryExW"": 1, ""GetProcAddress"": 1, ""InitializeCriticalSectionEx"": 1}";;{'kernel32.dll', 'api-ms-win-core-synch-l1-2-0.dll'};windows;X86;4200293;4194304/4727039;False;;21958;91853;855;80000;0.0;4.0;True
warzone4;318a52211ede1599f3a81bcb3b46d43e4e030f24e96399bc1935722b6a501b0f.exe;149.91061663627625;2023-01-04 11:03:26;"{""IsProcessorFeaturePresent"": 2, ""LoadLibraryExW"": 5, ""GetProcAddress"": 9, ""InitializeCriticalSectionEx"": 79, ""FlsAlloc"": 2, ""FlsSetValue"": 9, ""GetProcessHeap"": 1, ""GetLastError"": 5, ""FlsGetValue"": 1, ""SetLastError"": 6, ""EnterCriticalSection"": 7, ""HeapAlloc"": 1, ""LeaveCriticalSection"": 4, ""GetStartupInfoW"": 1, ""GetStdHandle"": 5, ""GetFileType"": 5, ""DeleteCriticalSection"": 15, ""FreeLibrary"": 2, ""IsDebuggerPresent"": 1, ""SetUnhandledExceptionFilter"": 1, ""UnhandledExceptionFilter"": 1, ""HeapValidate"": 1}";;{'ole32.dll', 'user32.dll', 'kernel32.dll', 'api-ms-win-core-fibers-l1-1-1.dll', 'oleaut32.dll', 'advapi32.dll', 'shell32.dll', 'api-ms-win-core-synch-l1-2-0.dll'};windows;X86;4198660;4194304/6863029;False;;287405;442599;1133;4726;0.0;22.0;True
